,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
0,public-apis/public-apis,https://github.com/public-apis/public-apis.git,240702,4948,1262,421,Python,0,0.0
1,facebook/react,https://github.com/facebook/react.git,207783,323598,1708,1160,JavaScript,0,0.0
2,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms.git,170160,13236,198,135,JavaScript,0,0.0
3,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh.git,159076,10221,2183,622,Shell,0,0.0
4,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python.git,158882,13434,1024,428,Python,0,0.0
5,flutter/flutter,https://github.com/flutter/flutter.git,153561,259459,1277,8307,Dart,0,0.0
7,Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT.git,133643,7459,298,1978,Python,0,0.0
8,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted.git,132507,15434,1199,1251,Makefile,0,0.0
9,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm.git,116125,124715,106,136,Markdown,0,0.0
10,vercel/next.js,https://github.com/vercel/next.js.git,106477,1839062,2649,5944,JavaScript,0,0.0
11,avelino/awesome-go,https://github.com/avelino/awesome-go.git,101851,10151,1727,628,Go,0,0.0
12,huggingface/transformers,https://github.com/huggingface/transformers.git,101123,144310,1909,4588,Python,0,0.0
13,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes.git,98531,1194206,3729,10965,Go,0,0.0
14,nodejs/node,https://github.com/nodejs/node.git,95494,1002183,3234,3996,JavaScript,0,0.0
15,mrdoob/three.js,https://github.com/mrdoob/three.js.git,91957,1283260,1759,2436,JavaScript,0,0.0
16,microsoft/PowerToys,https://github.com/microsoft/PowerToys.git,90747,323859,10000,1086,C#,0,0.0
17,denoland/deno,https://github.com/denoland/deno.git,89466,101996,817,2683,Rust,0,0.0
18,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices.git,89322,70080,224,320,Dockerfile,0,0.0
19,angular/angular,https://github.com/angular/angular.git,88259,460189,1739,3687,TypeScript,0,0.0
20,mui/material-ui,https://github.com/mui/material-ui.git,86807,382419,2760,3416,TypeScript,0,0.0
21,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy.git,83829,5525,121,701,C,0,0.0
23,storybookjs/storybook,https://github.com/storybookjs/storybook.git,78710,673922,1721,12858,TypeScript,0,0.0
24,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,77021,30536,409,4382,Python,0,0.0
25,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts.git,76030,624,72,395,HTML,0,0.0
26,laravel/laravel,https://github.com/laravel/laravel.git,73488,10632,642,286,PHP,0,0.0
27,django/django,https://github.com/django/django.git,70859,238330,2393,1511,Python,0,0.0
28,doocs/advanced-java,https://github.com/doocs/advanced-java.git,70098,33645,386,159,Java,0,0.0
