,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
1022,dianping/cat,https://github.com/dianping/cat.git,17756,114113,89,100,Java,1,"[790, 381, 271, 273, 264, 268, 249, 245, 257, 252]"
353,CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator.git,15715,10593,9,100,TypeScript,1,"[196, 177, 185, 184, 176, 176, 182, 200, 177, 208]"
79,vsouza/awesome-ios,https://github.com/vsouza/awesome-ios.git,42893,13400,870,101,Swift,1,"[170, 149, 146, 142, 139, 161, 145, 164, 161, 136]"
1640,Tonejs/Tone.js,https://github.com/Tonejs/Tone.js.git,12503,29377,92,101,TypeScript,3,"[264, 206, 175, 155, 170, 172, 169, 161, 167, 171]"
200,chubin/wttr.in,https://github.com/chubin/wttr.in.git,21560,1638,164,101,Python,4,"[232, 216, 211, 226, 223, 211, 224, 216, 226, 223]"
285,sampotts/plyr,https://github.com/sampotts/plyr.git,23719,65827,180,103,JavaScript,1,"[248, 219, 210, 229, 202, 233, 258, 210, 235, 201]"
384,google/yapf,https://github.com/google/yapf.git,13236,2519,138,103,Python,2,"[202, 177, 168, 161, 163, 168, 183, 174, 160, 167]"
359,vuejs/vue-router,https://github.com/vuejs/vue-router.git,18990,11752,330,103,JavaScript,1,"[199, 192, 196, 243, 170, 145, 187, 180, 157, 179]"
108,isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines.git,37869,26036,322,104,Python,3,"[211, 205, 203, 225, 193, 193, 213, 201, 207, 205]"
312,livewire/livewire,https://github.com/livewire/livewire.git,19022,10510,242,104,Blade,3,"[417, 375, 346, 359, 343, 362, 339, 398, 384, 366]"
1215,lk-geimfari/awesomo,https://github.com/lk-geimfari/awesomo.git,8925,1258,229,104,Elixir,1,"[247, 224, 262, 205, 252, 189, 175, 179, 181, 171]"
496,koalaman/shellcheck,https://github.com/koalaman/shellcheck.git,32158,5286,135,105,Haskell,1,"[195, 174, 165, 164, 173, 170, 167, 173, 176, 169]"
531,microsoft/TaskMatrix,https://github.com/microsoft/TaskMatrix.git,32865,38783,20,105,Python,2,"[190, 156, 173, 150, 138, 143, 147, 139, 159, 145]"
1213,benoitc/gunicorn,https://github.com/benoitc/gunicorn.git,8934,4574,352,105,Python,3,"[152, 130, 142, 123, 127, 121, 118, 126, 117, 117]"
319,electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate.git,21309,17370,162,106,TypeScript,2,"[212, 176, 181, 167, 205, 195, 184, 199, 195, 174]"
612,Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo.git,20633,4217,15,107,TypeScript,1,"[220, 196, 198, 212, 178, 189, 200, 205, 204, 193]"
141,harness/drone,https://github.com/harness/drone.git,26869,28900,313,107,Go,4,"[225, 212, 167, 196, 166, 173, 183, 242, 173, 171]"
1668,slackhq/nebula,https://github.com/slackhq/nebula.git,11802,2066,78,107,Go,2,"[229, 230, 197, 231, 205, 234, 195, 216, 193, 203]"
1243,Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents.git,14713,3006529,195,108,C#,1,"[625, 350, 370, 435, 425, 405, 336, 328, 330, 338]"
764,MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js.git,13639,12380,257,109,JavaScript,1,"[238, 202, 199, 217, 202, 196, 205, 208, 199, 203]"
779,chokcoco/iCSS,https://github.com/chokcoco/iCSS.git,15179,664,1,110,CSS,1,"[207, 195, 194, 191, 209, 197, 200, 211, 199, 195]"
707,hubotio/hubot,https://github.com/hubotio/hubot.git,16445,2562,281,110,JavaScript,1,"[140, 110, 105, 114, 104, 101, 112, 113, 109, 111]"
360,emotion-js/emotion,https://github.com/emotion-js/emotion.git,16410,23272,299,110,JavaScript,2,"[350, 229, 260, 239, 255, 243, 248, 235, 270, 284]"
235,fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs.git,19016,2657,88,111,TypeScript,2,"[196, 171, 170, 166, 168, 173, 187, 176, 206, 175]"
210,coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows.git,28178,33148,71,111,Go,1,"[184, 139, 156, 165, 152, 153, 149, 144, 164, 151]"
1725,fatedier/frp,https://github.com/fatedier/frp.git,67652,27857,91,112,Go,1,"[340, 300, 282, 300, 281, 290, 287, 298, 284, 262]"
734,amark/gun,https://github.com/amark/gun.git,17183,33334,142,112,JavaScript,2,"[216, 202, 210, 211, 186, 209, 196, 221, 208, 206]"
388,gollum/gollum,https://github.com/gollum/gollum.git,13131,129836,190,113,Ruby,1,"[609, 484, 494, 474, 467, 486, 454, 463, 444, 467]"
299,adonisjs/core,https://github.com/adonisjs/core.git,13937,5571,56,113,TypeScript,1,"[247, 210, 229, 212, 219, 223, 215, 211, 225, 218]"
118,openai/whisper,https://github.com/openai/whisper.git,37033,8446,62,115,Python,2,"[282, 242, 242, 248, 247, 263, 273, 256, 266, 253]"
247,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter.git,18215,54786,493,116,PHP,1,"[307, 217, 241, 226, 219, 222, 245, 224, 231, 233]"
524,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro.git,34250,7457,329,116,TypeScript,2,"[266, 218, 249, 225, 239, 223, 219, 225, 231, 244]"
676,iawia002/lux,https://github.com/iawia002/lux.git,21076,2557,89,117,Go,1,"[198, 177, 188, 180, 211, 174, 169, 162, 173, 185]"
1206,react-page/react-page,https://github.com/react-page/react-page.git,9188,231812,57,119,TypeScript,1,"[249, 205, 203, 220, 211, 200, 205, 191, 195, 200]"
364,tj/git-extras,https://github.com/tj/git-extras.git,16278,1972,236,119,Shell,1,"[192, 178, 177, 184, 179, 174, 174, 176, 177, 176]"
332,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer.git,18565,333476,20,119,Java,1,"[273, 195, 185, 209, 201, 211, 199, 203, 192, 191]"
303,emirpasic/gods,https://github.com/emirpasic/gods.git,13776,740,29,119,Go,1,"[180, 162, 158, 157, 156, 156, 166, 160, 153, 164]"
336,fivethirtyeight/data,https://github.com/fivethirtyeight/data.git,16212,155878,57,119,Jupyter Notebook,1,"[324, 212, 193, 178, 187, 196, 201, 209, 192, 189]"
252,JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR.git,18038,156566,106,119,Python,2,"[212, 162, 135, 138, 161, 154, 140, 137, 136, 144]"
383,showdownjs/showdown,https://github.com/showdownjs/showdown.git,13289,7964,77,120,JavaScript,1,"[256, 197, 184, 186, 195, 242, 201, 208, 189, 201]"
154,labstack/echo,https://github.com/labstack/echo.git,25685,6120,255,120,Go,1,"[221, 215, 207, 209, 211, 211, 222, 250, 238, 232]"
478,hakimel/reveal.js,https://github.com/hakimel/reveal.js.git,63799,21213,307,121,JavaScript,1,"[254, 205, 206, 204, 189, 189, 196, 237, 201, 214]"
419,nhn/tui.editor,https://github.com/nhn/tui.editor.git,15963,85153,126,121,TypeScript,2,"[257, 225, 237, 220, 224, 215, 228, 228, 229, 241]"
1486,docsifyjs/docsify,https://github.com/docsifyjs/docsify.git,23503,26080,175,121,JavaScript,1,"[208, 178, 172, 193, 174, 181, 166, 185, 163, 158]"
92,marktext/marktext,https://github.com/marktext/marktext.git,39884,72432,140,121,JavaScript,1,"[318, 232, 234, 227, 239, 240, 237, 237, 225, 242]"
290,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring.git,14121,115035,226,122,C,1,"[417, 296, 269, 251, 268, 264, 262, 269, 281, 262]"
405,wix/react-native-navigation,https://github.com/wix/react-native-navigation.git,12799,144477,439,123,Objective-C,2,"[376, 253, 281, 266, 273, 287, 288, 286, 289, 273]"
199,zyedidia/micro,https://github.com/zyedidia/micro.git,21569,12773,266,124,Go,6,"[227, 193, 213, 212, 209, 201, 229, 215, 210, 242]"
423,Tencent/MMKV,https://github.com/Tencent/MMKV.git,15826,2502,33,125,C++,1,"[211, 193, 184, 179, 176, 182, 191, 188, 183, 182]"
151,codemirror/codemirror5,https://github.com/codemirror/codemirror5.git,25893,19138,860,126,JavaScript,1,"[313, 281, 305, 317, 322, 277, 284, 283, 283, 284]"
822,mdx-js/mdx,https://github.com/mdx-js/mdx.git,15218,42196,182,127,JavaScript,1,"[242, 212, 215, 229, 281, 217, 220, 234, 219, 211]"
328,ai/nanoid,https://github.com/ai/nanoid.git,20802,4603,119,130,JavaScript,1,"[258, 234, 216, 227, 254, 224, 221, 241, 240, 239]"
